Weekly U.S. Product Supplied of Kerosene-Type Jet Fuel
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=wkjupus2&f=w
09:14:29 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Product Supplied of Kerosene-Type Jet Fuel Thousand Barrels per Day
06/9/1995,1407
06/2/1995,1247
05/26/1995,1390
05/19/1995,1468
05/12/1995,1453
05/5/1995,1332
04/28/1995,1513
04/21/1995,1452
04/14/1995,1152
04/7/1995,1309
03/31/1995,1525
03/24/1995,1260
03/17/1995,1363
03/10/1995,1639
03/3/1995,1514
02/24/1995,1532
02/17/1995,1462
02/10/1995,1698
02/3/1995,1496
01/27/1995,1514
01/20/1995,1592
01/13/1995,1490
01/6/1995,1649
12/30/1994,1445
12/23/1994,1867
12/16/1994,1431
12/9/1994,1550
12/2/1994,1516
11/25/1994,1437
11/18/1994,1458
11/11/1994,1549
11/4/1994,1647
10/28/1994,1152
10/21/1994,1676
10/14/1994,1624
10/7/1994,1550
09/30/1994,1528
09/23/1994,1399
09/16/1994,1675
09/9/1994,1415
09/2/1994,1693
08/26/1994,1421
08/19/1994,1699
08/12/1994,1363
08/5/1994,1522
07/29/1994,1372
07/22/1994,1636
07/15/1994,1310
07/8/1994,1309
07/1/1994,1465
06/24/1994,1659
06/17/1994,1391
06/10/1994,1696
06/3/1994,1405
05/27/1994,1455
05/20/1994,1229
05/13/1994,1305
05/6/1994,1426
04/29/1994,1407
04/22/1994,1608
04/15/1994,1544
04/8/1994,1184
04/1/1994,1462
03/25/1994,1326
03/18/1994,1322
03/11/1994,1631
03/4/1994,1474
02/25/1994,1495
02/18/1994,1332
02/11/1994,1529
02/4/1994,1606
01/28/1994,1584
01/21/1994,1413
01/14/1994,1312
01/7/1994,1607
12/31/1993,1286
12/24/1993,1527
12/17/1993,1455
12/10/1993,1499
12/3/1993,1303
11/26/1993,1331
11/19/1993,1370
11/12/1993,1449
11/5/1993,1276
10/29/1993,1513
10/22/1993,1229
10/15/1993,1407
10/8/1993,1314
10/1/1993,1401
09/24/1993,1295
09/17/1993,1463
09/10/1993,1334
09/3/1993,1358
08/27/1993,1285
08/20/1993,1819
08/13/1993,1502
08/6/1993,1430
07/30/1993,1450
07/23/1993,1155
07/16/1993,1613
07/9/1993,1401
07/2/1993,1431
06/25/1993,1253
06/18/1993,1508
06/11/1993,1223
06/4/1993,1187
05/28/1993,1486
05/21/1993,1348
05/14/1993,1215
05/7/1993,1292
04/30/1993,1336
04/23/1993,1287
04/16/1993,1415
04/9/1993,1460
04/2/1993,1341
03/26/1993,1377
03/19/1993,1356
03/12/1993,1578
03/5/1993,1371
02/26/1993,1230
02/19/1993,1303
02/12/1993,1330
02/5/1993,1401
01/29/1993,1719
01/22/1993,1432
01/15/1993,1422
01/8/1993,1434
01/1/1993,1583
12/25/1992,1476
12/18/1992,1594
12/11/1992,1283
12/4/1992,1616
11/27/1992,1364
11/20/1992,1389
11/13/1992,1451
11/6/1992,1285
10/30/1992,1409
10/23/1992,1141
10/16/1992,1467
10/9/1992,1286
10/2/1992,1583
09/25/1992,1390
09/18/1992,1160
09/11/1992,1236
09/4/1992,1308
08/28/1992,1323
08/21/1992,1516
08/14/1992,1378
08/7/1992,1380
07/31/1992,1281
07/24/1992,1446
07/17/1992,1503
07/10/1992,1423
07/3/1992,1353
06/26/1992,1231
06/19/1992,1324
06/12/1992,1102
06/5/1992,1424
05/29/1992,1204
05/22/1992,1232
05/15/1992,1453
05/8/1992,832
05/1/1992,1281
04/24/1992,1283
04/17/1992,1415
04/10/1992,1372
04/3/1992,1393
03/27/1992,1127
03/20/1992,1141
03/13/1992,1203
03/6/1992,1332
02/28/1992,1177
02/21/1992,1256
02/14/1992,1387
02/7/1992,1433
01/31/1992,1558
01/24/1992,1395
01/17/1992,1351
01/10/1992,1534
01/3/1992,1358
12/27/1991,1172
12/20/1991,1580
12/13/1991,1464
12/6/1991,1372
11/29/1991,1127
11/22/1991,1682
11/15/1991,1335
11/8/1991,1250
11/1/1991,1306
10/25/1991,1387
10/18/1991,1403
10/11/1991,1387
10/4/1991,1364
09/27/1991,1221
09/20/1991,1266
09/13/1991,1245
09/6/1991,1395
08/30/1991,1314
08/23/1991,1272
08/16/1991,1303
08/9/1991,1494
08/2/1991,1270
07/26/1991,1394
07/19/1991,1223
07/12/1991,1509
07/5/1991,1227
06/28/1991,1373
06/21/1991,1041
06/14/1991,1318
06/7/1991,1325
05/31/1991,1157
05/24/1991,1096
05/17/1991,1262
05/10/1991,1151
05/3/1991,1242
04/26/1991,1242
04/19/1991,1276
04/12/1991,1184
04/5/1991,1322
03/29/1991,1259
03/22/1991,1324
03/15/1991,1252
03/8/1991,1402
03/1/1991,1514
02/22/1991,1332
02/15/1991,1226
02/8/1991,1466
