Weekly U.S. Product Supplied of Kerosene-Type Jet Fuel
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=wkjupus2&f=w
09:14:29 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Product Supplied of Kerosene-Type Jet Fuel Thousand Barrels per Day
11/7/2014,1563
10/31/2014,1510
10/24/2014,1691
10/17/2014,1440
10/10/2014,1484
10/3/2014,1442
09/26/2014,1381
09/19/2014,1399
09/12/2014,1582
09/5/2014,1417
08/29/2014,1607
08/22/2014,1692
08/15/2014,1442
08/8/2014,1538
08/1/2014,1704
07/25/2014,1871
07/18/2014,1514
07/11/2014,1512
07/4/2014,1799
06/27/2014,1663
06/20/2014,1692
06/13/2014,1575
06/6/2014,1401
05/30/2014,1390
05/23/2014,1540
05/16/2014,1524
05/9/2014,1429
05/2/2014,1333
04/25/2014,1604
04/18/2014,1365
04/11/2014,1340
04/4/2014,1370
03/28/2014,1592
03/21/2014,1329
03/14/2014,1355
03/7/2014,1518
02/28/2014,1431
02/21/2014,1224
02/14/2014,1283
02/7/2014,1302
01/31/2014,1479
01/24/2014,1464
01/17/2014,1308
01/10/2014,1498
01/3/2014,1518
12/27/2013,1470
12/20/2013,1656
12/13/2013,1469
12/6/2013,1480
11/29/2013,1408
11/22/2013,1683
11/15/2013,1504
11/8/2013,1561
11/1/2013,1233
10/25/2013,1671
10/18/2013,1348
10/11/2013,1369
10/4/2013,1211
09/27/2013,1531
09/20/2013,1357
09/13/2013,1403
09/6/2013,1642
08/30/2013,1404
08/23/2013,1524
08/16/2013,1589
08/9/2013,1679
08/2/2013,1453
07/26/2013,1523
07/19/2013,1575
07/12/2013,1593
07/5/2013,1626
06/28/2013,1630
06/21/2013,1466
06/14/2013,1623
06/7/2013,1235
05/31/2013,1488
05/24/2013,1381
05/17/2013,1445
05/10/2013,1623
05/3/2013,1472
04/26/2013,1365
04/19/2013,1594
04/12/2013,1256
04/5/2013,1358
03/29/2013,1318
03/22/2013,1312
03/15/2013,1394
03/8/2013,1434
03/1/2013,1288
02/22/2013,1289
02/15/2013,1263
02/8/2013,1401
02/1/2013,1432
01/25/2013,1366
01/18/2013,1357
01/11/2013,1292
01/4/2013,1402
12/28/2012,1343
12/21/2012,1453
12/14/2012,1486
12/7/2012,1487
11/30/2012,1509
11/23/2012,1465
11/16/2012,1267
11/9/2012,1456
11/2/2012,1523
10/26/2012,1290
10/19/2012,1541
10/12/2012,1605
10/5/2012,1409
09/28/2012,1493
09/21/2012,1331
09/14/2012,1345
09/7/2012,1553
08/31/2012,1464
08/24/2012,1360
08/17/2012,1388
08/10/2012,1496
08/3/2012,1685
07/27/2012,1502
07/20/2012,1264
07/13/2012,1597
07/6/2012,1458
06/29/2012,1593
06/22/2012,1583
06/15/2012,1533
06/8/2012,1645
06/1/2012,1379
05/25/2012,1369
05/18/2012,1476
05/11/2012,1427
05/4/2012,1332
04/27/2012,1326
04/20/2012,1326
04/13/2012,1407
04/6/2012,1429
03/30/2012,1536
03/23/2012,1267
03/16/2012,1292
03/9/2012,1225
03/2/2012,1540
02/24/2012,1475
02/17/2012,1215
02/10/2012,1351
02/3/2012,1361
01/27/2012,1207
01/20/2012,1517
01/13/2012,1238
01/6/2012,1407
12/30/2011,1361
12/23/2011,1426
12/16/2011,1426
12/9/2011,1406
12/2/2011,1381
11/25/2011,1410
11/18/2011,1386
11/11/2011,1589
11/4/2011,1526
10/28/2011,1445
10/21/2011,1363
10/14/2011,1402
10/7/2011,1455
09/30/2011,1426
09/23/2011,1421
09/16/2011,1328
09/9/2011,1454
09/2/2011,1502
08/26/2011,1462
08/19/2011,1613
08/12/2011,1495
08/5/2011,1592
07/29/2011,1537
07/22/2011,1564
07/15/2011,1581
07/8/2011,1390
07/1/2011,1551
06/24/2011,1394
06/17/2011,1517
06/10/2011,1258
06/3/2011,1419
05/27/2011,1321
05/20/2011,1480
05/13/2011,1510
05/6/2011,1335
04/29/2011,1474
04/22/2011,1575
04/15/2011,1439
04/8/2011,1360
04/1/2011,1349
03/25/2011,1291
03/18/2011,1530
03/11/2011,1406
03/4/2011,1280
02/25/2011,1259
02/18/2011,1445
02/11/2011,1428
02/4/2011,1465
01/28/2011,1311
01/21/2011,1350
01/14/2011,1450
01/7/2011,1487
12/31/2010,1376
12/24/2010,1439
12/17/2010,1397
12/10/2010,1636
12/3/2010,1352
11/26/2010,1265
11/19/2010,1476
11/12/2010,1500
11/5/2010,1311
10/29/2010,1461
10/22/2010,1354
10/15/2010,1257
10/8/2010,1430
10/1/2010,1441
09/24/2010,1370
09/17/2010,1497
09/10/2010,1492
09/3/2010,1539
08/27/2010,1414
08/20/2010,1441
08/13/2010,1401
08/6/2010,1593
07/30/2010,1449
07/23/2010,1513
07/16/2010,1568
07/9/2010,1580
07/2/2010,1404
06/25/2010,1473
06/18/2010,1314
06/11/2010,1284
06/4/2010,1334
05/28/2010,1468
05/21/2010,1387
05/14/2010,1471
05/7/2010,1471
04/30/2010,1524
04/23/2010,1304
04/16/2010,1427
04/9/2010,1378
04/2/2010,1374
03/26/2010,1529
03/19/2010,1339
03/12/2010,1304
03/5/2010,1302
02/26/2010,1313
02/19/2010,1235
02/12/2010,1225
02/5/2010,1393
01/29/2010,1430
01/22/2010,1430
01/15/2010,1236
01/8/2010,1344
01/1/2010,1540
12/25/2009,1378
12/18/2009,1458
12/11/2009,1660
12/4/2009,1320
11/27/2009,1418
11/20/2009,1562
11/13/2009,1399
11/6/2009,1381
10/30/2009,1482
10/23/2009,1281
10/16/2009,1313
10/9/2009,1416
10/2/2009,1425
