PASSENGERS,FREIGHT,MAIL,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_FIPS,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_FIPS,YEAR,QUARTER,MONTH
5,505,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,OMA,"Omaha, NE",NE,31,31055,2020,1,3
5,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,IND,"Indianapolis, IN",IN,18,18097,2020,1,3
5,408,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,DEN,"Denver, CO",CO,8,8031,2020,1,2
5,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,IND,"Indianapolis, IN",IN,18,18097,2020,1,2
5,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,PBI,"West Palm Beach, FL",FL,12,12099,2020,2,4
6,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,SJU,"San Juan, PR",PR,72,#N/A,2020,1,2
7,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MKE,"Milwaukee, WI",WI,55,55079,2020,1,1
7,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,RDU,"Raleigh, NC",NC,37,37183,2020,1,1
7,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,SLC,"Salt Lake City, UT",UT,49,49035,2020,1,2
7,81,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,SAN,"San Diego, CA",CA,6,6073,2020,2,4
8,0,0,Delta Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,GSP,"Greer, SC",SC,45,45045,2020,1,2
9,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,TUS,"Tucson, AZ",AZ,4,4019,2020,1,1
10,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,PIT,"Pittsburgh, PA",PA,42,42003,2020,1,1
12,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MSY,"New Orleans, LA",LA,22,22071,2020,1,1
13,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,BOI,"Boise, ID",ID,16,16001,2020,1,3
14,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,SAT,"San Antonio, TX",TX,48,48029,2020,1,3
15,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,IND,"Indianapolis, IN",IN,18,18097,2020,1,1
15,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,PHX,"Phoenix, AZ",AZ,4,4013,2020,1,1
15,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,CLE,"Cleveland, OH",OH,39,39035,2020,2,6
18,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,RDU,"Raleigh, NC",NC,37,37183,2020,1,3
18,442,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,MCO,"Orlando, FL",FL,12,12095,2020,2,5
19,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,CLT,"Charlotte, NC",NC,37,37119,2020,1,3
19,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,ORF,"Norfolk, VA",VA,51,51710,2020,1,3
19,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,RSW,"Fort Myers, FL",FL,12,12071,2020,2,4
21,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,SLC,"Salt Lake City, UT",UT,49,49035,2020,1,1
21,2,0,United Air Lines Inc.,ALB,"Albany, NY",NY,36,36001,ORD,"Chicago, IL",IL,17,17031,2020,2,5
21,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,ATL,"Atlanta, GA",GA,13,13121,2020,1,2
22,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,DEN,"Denver, CO",CO,8,8031,2020,1,1
22,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,BUR,"Burbank, CA",CA,6,6037,2020,1,1
25,74,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,TPA,"Tampa, FL",FL,12,12057,2020,2,5
30,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,SAN,"San Diego, CA",CA,6,6073,2020,1,3
30,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,SJU,"San Juan, PR",PR,72,#N/A,2020,1,3
30,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,FLL,"Fort Lauderdale, FL",FL,12,12011,2020,2,5
31,1420,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,OMA,"Omaha, NE",NE,31,31055,2020,1,2
32,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,LAS,"Las Vegas, NV",NV,32,32003,2020,1,3
33,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,ATL,"Atlanta, GA",GA,13,13121,2020,2,6
40,28,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,STL,"Saint Louis, MO",MO,29,29510,2020,1,3
41,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,DAL,"Dallas, TX",TX,48,48113,2020,1,3
42,0,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,HOU,"Houston, TX",TX,48,48201,2020,1,2
55,776,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,DEN,"Denver, CO",CO,8,8031,2020,2,4
